Country name,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank
Ethiopia,Sub-Saharan Africa,4.09060001373291,2295.56,0.782480120658875,60.6982765197754,0.720276236534119,0.273315191268921,0.78865110874176,2.2,3.66,0.78,49.3,60.91,35.0
Liberia,Sub-Saharan Africa,4.0423002243042,1446.28,0.596380233764648,56.7000007629395,0.735264956951141,0.15432134270668,0.830051302909851,5.37,8.58,2.2,,48.64,35.3
India,South Asia,4.03579998016357,6367.67,0.608237445354462,60.7768821716309,0.896719217300415,0.0717499554157257,0.773582875728607,5.61,9.06,1.89,44.43,66.16,35.7
Madagascar,Sub-Saharan Africa,4.01910018920898,1465.88,0.649897634983063,58.0499992370606,0.521892130374908,0.0754376798868179,0.741823196411133,1.98,3.22,0.77,,54.12,42.6
Zambia,Sub-Saharan Africa,3.98219990730286,3209.44,0.693536043167114,55.0321388244629,0.790871441364288,0.0983889028429985,0.817556738853455,4.46,7.26,1.79,43.62,57.2,57.1
Tanzania,Sub-Saharan Africa,3.69379997253418,2584.82,0.652874767780304,59.4014854431152,0.837926626205444,0.181990027427673,0.553873181343079,12.04,19.89,4.36,56.0,60.07,40.5
Comoros,Sub-Saharan Africa,3.54520010948181,3211.82,0.470725268125534,59.4249992370606,0.469872295856476,-0.0142812309786677,0.726998269557953,1.15,2.0,0.3,,59.6,45.3
Malawi,Sub-Saharan Africa,3.49519991874695,1482.56,0.530796408653259,58.4753456115723,0.750035762786865,0.0051932921633124,0.748948872089386,4.08,6.76,1.56,,61.01,44.7
Botswana,Sub-Saharan Africa,3.43530011177063,15204.49,0.753311276435852,54.7249984741211,0.742248713970184,-0.214620560407639,0.830392062664032,6.61,11.1,2.61,52.98,59.07,53.3
Congo (Kinshasa),Sub-Saharan Africa,3.207200050354,1103.97,0.651609778404236,55.375,0.663797676563263,0.0859979018568993,0.833751916885376,1.1,1.76,0.46,,50.9,42.1
Zimbabwe,Sub-Saharan Africa,3.20350003242493,2081.82,0.689917504787445,54.0498886108398,0.65405547618866,-0.0462302304804325,0.765582323074341,4.52,7.94,1.62,59.3,55.46,50.3
Sierra Leone,Sub-Saharan Africa,3.13759994506836,1626.22,0.555251061916351,54.8998527526856,0.66036731004715,0.104929089546204,0.857779681682587,5.31,9.19,1.47,,48.26,35.7
Lebanon,Middle East and North Africa,2.39219999313355,13064.81,0.529753684997559,66.1488189697266,0.47390028834343,-0.140914991497993,0.891103863716126,1.53,2.58,0.49,46.77,68.65,31.8
Afghanistan,South Asia,1.85899996757507,1516.31,0.341340631246567,54.7124099731445,0.381641685962677,-0.0810111239552498,0.847214818000794,0.013,0.022,0.003,76.31,50.91,
